File Name,Shp/Relationship File,Year,ZIP Link ,,,STATE,STATEFP,STATENS,STATE_NAME,PLACE ZIP,TRACT ZIP,Year,
STATE,State and Equivalent,2021,https://www2.census.gov/geo/tiger/TIGER2021/STATE/tl_2021_us_state.zip,,,AL,1,1779775,Alabama,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_01_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_01_tract.zip,,
COUNTY,County,2021,https://www2.census.gov/geo/tiger/TIGER2021/COUNTY/tl_2021_us_county.zip,,,AK,2,1785533,Alaska,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_02_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_02_tract.zip,,
TTRACT,Tribal Census Tract,2021,https://www2.census.gov/geo/tiger/TIGER2021/TTRACT/tl_2021_us_ttract.zip,,,AZ,4,1779777,Arizona,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_04_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_04_tract.zip,,
CBSA,Metropolitan Statistical Area / Micropolitan Statistical Area,2021,https://www2.census.gov/geo/tiger/TIGER2021/CBSA/tl_2021_us_cbsa.zip,,,AR,5,68085,Arkansas,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_05_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_05_tract.zip,,
,,,,,,CA,6,1779778,California,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_06_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_06_tract.zip,,
,,,,,,CO,8,1779779,Colorado,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_08_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_08_tract.zip,,
,,,,,,CT,9,1779780,Connecticut,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_09_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_09_tract.zip,,
,,,,,,DE,10,1779781,Delaware,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_10_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_10_tract.zip,,
,,,,,,DC,11,1702382,District of Columbia,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_11_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_11_tract.zip,,
,,,,,,FL,12,294478,Florida,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_12_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_12_tract.zip,,
,,,,,,GA,13,1705317,Georgia,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_13_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_13_tract.zip,,
,,,,,,HI,15,1779782,Hawaii,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_15_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_15_tract.zip,,
,,,,,,ID,16,1779783,Idaho,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_16_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_16_tract.zip,,
,,,,,,IL,17,1779784,Illinois,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_17_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_17_tract.zip,,
,,,,,,IN,18,448508,Indiana,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_18_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_18_tract.zip,,
,,,,,,IA,19,1779785,Iowa,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_19_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_19_tract.zip,,
,,,,,,KS,20,481813,Kansas,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_20_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_20_tract.zip,,
,,,,,,KY,21,1779786,Kentucky,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_21_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_21_tract.zip,,
,,,,,,LA,22,1629543,Louisiana,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_22_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_22_tract.zip,,
,,,,,,ME,23,1779787,Maine,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_23_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_23_tract.zip,,
,,,,,,MD,24,1714934,Maryland,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_24_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_24_tract.zip,,
,,,,,,MA,25,606926,Massachusetts,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_25_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_25_tract.zip,,
,,,,,,MI,26,1779789,Michigan,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_26_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_26_tract.zip,,
,,,,,,MN,27,662849,Minnesota,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_27_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_27_tract.zip,,
,,,,,,MS,28,1779790,Mississippi,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_28_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_28_tract.zip,,
,,,,,,MO,29,1779791,Missouri,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_29_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_29_tract.zip,,
,,,,,,MT,30,767982,Montana,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_30_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_30_tract.zip,,
,,,,,,NE,31,1779792,Nebraska,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_31_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_31_tract.zip,,
,,,,,,NV,32,1779793,Nevada,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_32_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_32_tract.zip,,
,,,,,,NH,33,1779794,New Hampshire,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_33_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_33_tract.zip,,
,,,,,,NJ,34,1779795,New Jersey,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_34_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_34_tract.zip,,
,,,,,,NM,35,897535,New Mexico,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_35_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_35_tract.zip,,
,,,,,,NY,36,1779796,New York,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_36_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_36_tract.zip,,
,,,,,,NC,37,1027616,North Carolina,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_37_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_37_tract.zip,,
,,,,,,ND,38,1779797,North Dakota,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_38_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_38_tract.zip,,
,,,,,,OH,39,1085497,Ohio,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_39_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_39_tract.zip,,
,,,,,,OK,40,1102857,Oklahoma,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_40_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_40_tract.zip,,
,,,,,,OR,41,1155107,Oregon,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_41_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_41_tract.zip,,
,,,,,,PA,42,1779798,Pennsylvania,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_42_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_42_tract.zip,,
,,,,,,RI,44,1219835,Rhode Island,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_44_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_44_tract.zip,,
,,,,,,SC,45,1779799,South Carolina,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_45_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_45_tract.zip,,
,,,,,,SD,46,1785534,South Dakota,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_46_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_46_tract.zip,,
,,,,,,TN,47,1325873,Tennessee,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_47_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_47_tract.zip,,
,,,,,,TX,48,1779801,Texas,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_48_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_48_tract.zip,,
,,,,,,UT,49,1455989,Utah,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_49_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_49_tract.zip,,
,,,,,,VT,50,1779802,Vermont,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_50_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_50_tract.zip,,
,,,,,,VA,51,1779803,Virginia,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_51_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_51_tract.zip,,
,,,,,,WA,53,1779804,Washington,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_53_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_53_tract.zip,,
,,,,,,WV,54,1779805,West Virginia,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_54_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_54_tract.zip,,
,,,,,,WI,55,1779806,Wisconsin,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_55_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_55_tract.zip,,
,,,,,,WY,56,1779807,Wyoming,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_56_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_56_tract.zip,,
,,,,,,AS,60,1802701,American Samoa,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_60_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_60_tract.zip,,
,,,,,,GU,66,1802705,Guam,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_66_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_66_tract.zip,,
,,,,,,MP,69,1779809,Commonwealth of the Northern Mariana Islands,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_69_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_69_tract.zip,,
,,,,,,PR,72,1779808,Puerto Rico,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_72_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_72_tract.zip,,
,,,,,,UM,74,1878752,U.S. Minor Outlying Islands,,,,
,,,,,,VI,78,1802710,United States Virgin Islands,https://www2.census.gov/geo/tiger/TIGER2021/PLACE/tl_2021_78_place.zip,https://www2.census.gov/geo/tiger/TIGER2021/TRACT/tl_2021_78_tract.zip,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
